1727644736.613875 server started (428626): version 3.3a, socket /tmp/tmux-1000/default, protocol 8
1727644736.614469 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1727644736.614473 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1727644736.614476 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1727644736.614480 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1727644736.614483 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1727644736.614487 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1727644736.614490 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1727644736.614493 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1727644736.614497 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1727644736.614500 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1727644736.614504 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1727644736.614512 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1727644736.614516 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1727644736.614519 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1727644736.614523 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1727644736.614526 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1727644736.614529 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1727644736.614533 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1727644736.614536 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1727644736.614540 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1727644736.614543 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1727644736.614546 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1727644736.614550 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
